"player_id","player_team","position_name","now_cost","avg_points","avg_minutes","avg_ict","avg_influence","avg_xG","avg_xA","avg_xGChain","diff_opponent","full_name","web_name","team_name","team_strength","position","short_name"
445,"Baptiste | BRE","Midfielder",4.5,0.945945945945946,24.2702702702703,1.07027027027027,3.58918918918919,0.578381357714534,0.54543586447835,2.33603840786964,3,"Shandon Baptiste","Baptiste","Brentford",3,"MID","BRE"
446,"Duffy | BHA","Defender",4.5,0.64,19.12,0.962666666666667,5.07466666666666,0.907704390585422,0.103009384125471,3.51753839291632,2.75,"Shane Duffy","Duffy","Brighton",3,"DEF","BHA"
447,"Dembélé | BOU","Midfielder",5,NA,NA,NA,NA,NA,NA,NA,3.5,"Siriki Dembélé","Dembélé","Bournemouth",2,NA,"BOU"
448,"March | BHA","Midfielder",5,0.157894736842105,1.26315789473684,0.00526315789473684,0.0105263157894737,0,0,0,2.75,"Solly March","March","Brighton",3,"MID","BHA"
449,"Son | TOT","Midfielder",12,6.44,80.5066666666667,8.572,28.8373333333333,14.0077303033322,8.67997300345451,25.1483456213027,3.125,"Son Heung-min","Son","Spurs",4,"MID","TOT"
450,"Ortega | MCI","Goalkeeper",4,NA,NA,NA,NA,NA,NA,NA,2.875,"Stefan Ortega Moreno","Ortega","Man City",5,NA,"MCI"
451,"Cook | NFO","Defender",4.5,NA,NA,NA,NA,NA,NA,NA,3,"Steve Cook","Cook","Nott'm Forest",2,NA,"NFO"
452,"Alzate | BHA","Midfielder",4.5,0.64,17.24,0.678666666666667,2.69866666666667,0.457639414817095,0.534795731306076,2.2193719772622,2.75,"Steven Alzate","Alzate","Brighton",3,"MID","BHA"
453,"Bergwijn | TOT","Midfielder",5.5,1.46666666666667,23.3333333333333,1.42,4.33333333333333,2.71428626216948,0.852691621519625,4.81180584430695,3.125,"Steven Bergwijn","Bergwijn","Spurs",4,"MID","TOT"
454,"S.Armstrong | SOU","Midfielder",5,2.28,56.1333333333333,3.30133333333333,10.5413333333333,2.70096065336838,2.26077251229435,8.28219419904053,3.25,"Stuart Armstrong","S.Armstrong","Southampton",3,"MID","SOU"
455,"Dallas | LEE","Defender",5,3.34666666666667,84.4,4.21333333333333,18.3013333333333,3.14629561686888,2.73212979082018,14.015006496571,3.125,"Stuart Dallas","Dallas","Leeds",2,"MID","LEE"
456,"Botman | NEW","Defender",4.5,NA,NA,NA,NA,NA,NA,NA,3.25,"Sven Botman","Botman","Newcastle",3,NA,"NEW"
457,"Awoniyi | NFO","Forward",6,NA,NA,NA,NA,NA,NA,NA,3,"Taiwo Awoniyi","Awoniyi","Nott'm Forest",2,NA,"NFO"
458,"Tomiyasu | ARS","Defender",4.5,2.17647058823529,48.2941176470588,1.92352941176471,9.01176470588235,0.387237914837897,0.999206688255072,8.34069247171283,2.875,"Takehiro Tomiyasu","Tomiyasu","Arsenal",4,"DEF","ARS"
459,"Lamptey | BHA","Defender",4.5,1.45333333333333,32.4133333333333,1.644,5.25066666666667,0.848735772073269,1.83410499524325,5.24764334410429,2.75,"Tariq Lamptey","Lamptey","Brighton",3,"DEF","BHA"
460,"Richards | BHA","Midfielder",4.5,0.0540540540540541,0.621621621621622,0.0675675675675676,0.124324324324324,0.0214244723320007,0.00731453252956271,0.193769101053476,2.75,"Taylor Richards","Richards","Brighton",3,"MID","BHA"
461,"Kongolo | FUL","Defender",4,NA,NA,NA,NA,NA,NA,NA,3.5,"Terence Kongolo","Kongolo","Fulham",2,NA,"FUL"
462,"Walcott | SOU","Midfielder",5,1.17333333333333,26.7333333333333,1.30266666666667,3.77866666666667,1.57141815312207,0.642502959817648,3.37346826866269,3.25,"Theo Walcott","Walcott","Southampton",3,"MID","SOU"
463,"Thiago | LIV","Midfielder",5.5,1.67567567567568,45.6486486486486,2.83918918918919,10.4513513513514,1.42037437437102,2.56544616213068,12.0097393123433,3,"Thiago Alcántara do Nascimento","Thiago","Liverpool",5,"MID","LIV"
464,"Thiago Silva | CHE","Defender",5.5,3.45945945945946,69.1621621621622,3.01891891891892,20.9027027027027,1.19715339876711,0.272718970663846,12.9443778761197,3.125,"Thiago Emiliano da Silva","Thiago Silva","Chelsea",4,"DEF","CHE"
465,"Partey | ARS","Midfielder",5,1.66197183098592,50.0845070422535,2.31971830985915,9.14084507042254,2.0899994391948,0.994502239860594,8.45689401961863,2.875,"Thomas Partey","Partey","Arsenal",4,"MID","ARS"
466,"Iroegbunam | AVL","Midfielder",4.5,0.173913043478261,3.91304347826087,0.0739130434782609,0.460869565217391,0.100660815834999,0,0.102368425577879,3.25,"Tim Iroegbunam","Iroegbunam","Aston Villa",3,"MID","AVL"
467,"Ream | FUL","Defender",4.5,NA,NA,NA,NA,NA,NA,NA,3.5,"Tim Ream","Ream","Fulham",2,NA,"FUL"
468,"Werner | CHE","Forward",8,2.53333333333333,51.68,4.60266666666667,9.632,9.79962046165019,3.49282701965421,15.1136511620134,3.125,"Timo Werner","Werner","Chelsea",4,"FWD","CHE"
469,"Castagne | LEI","Defender",4.5,2.22972972972973,57.9594594594595,2.26891891891892,11.7162162162162,1.27037314977497,1.69671385362744,6.9740782561712,3.5,"Timothy Castagne","Castagne","Leicester",3,"DEF","LEI"
470,"Livramento | SOU","Defender",4.5,2.16216216216216,59.4594594594595,2.67027027027027,11.8162162162162,1.14555625803769,2.96002293284982,7.63743624463677,3.25,"Tino Livramento","Livramento","Southampton",3,"DEF","SOU"
471,"Cairney | FUL","Midfielder",5,NA,NA,NA,NA,NA,NA,NA,3.5,"Tom Cairney","Cairney","Fulham",2,NA,"FUL"
472,"Davies | EVE","Midfielder",5,0.797297297297297,22.2567567567568,0.671621621621622,3.47297297297297,0.592124882154167,0.478092189878225,2.20829666871578,3.25,"Tom Davies","Davies","Everton",3,"MID","EVE"
473,"Heaton | MUN","Goalkeeper",4,NA,NA,NA,NA,NA,NA,NA,3.25,"Tom Heaton","Heaton","Man Utd",4,NA,"MUN"
474,"Soucek | WHU","Midfielder",5.5,3.45333333333333,85.2133333333333,4.92133333333333,20.2933333333333,7.24342159926891,2.30596782360226,13.272079795599,3.375,"Tomas Soucek","Soucek","West Ham",3,"MID","WHU"
475,"Tosin | FUL","Defender",4.5,NA,NA,NA,NA,NA,NA,NA,3.5,"Tosin Adarabioyo","Tosin","Fulham",2,NA,"FUL"
476,"Toti | WOL","Defender",4,0.222222222222222,15,0.238888888888889,2.31111111111111,0.0366181954741478,0,0.292554758489132,3.25,"Toti António Gomes","Toti","Wolves",3,"DEF","WOL"
477,"Alexander-Arnold | LIV","Defender",7.5,4.90666666666667,78.4266666666667,6.984,21.6906666666667,2.39256485411897,10.6320026689209,22.0995872262865,3,"Trent Alexander-Arnold","Alexander-Arnold","Liverpool",5,"DEF","LIV"
478,"Chalobah | CHE","Defender",5,2.62162162162162,36.6756756756757,1.61351351351351,10.4972972972973,1.17758554406464,0.265964284539223,7.68292647600174,3.125,"Trevoh Chalobah","Chalobah","Chelsea",4,"DEF","CHE"
